Annual Income,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Current Loan Amount,Current Credit Balance,Credit Score,Is_Years_in_current_job,Is_Term,Is_Home_Ownership,Is_Purpose_business loan,Is_Purpose_other,Is_Purpose_small business,Credit Default
0.9510010120224484,-0.11095342154390785,1.4853284379447251,-0.7030928572104035,0.8402782648899684,-0.3409788778582933,1.790828458072214,2.1669721510869633,0.8800843128203557,0.20316190674390086,-0.9239031094701204,1,0,0,1,0,1
-0.6076958900664923,-0.11095342154390785,0.7758820742672183,0.1722885230389162,1.4604749946410858,-0.3409788778582933,-0.616687587473926,-0.8624312570653219,-1.2039375366955685,-0.40395743929993627,-0.6629135305237588,0,1,0,1,0,0
0.36364320623368485,-0.11095342154390785,0.7758820742672183,1.1991782191006175,1.71739093363896,-0.3409788778582933,-0.6204342426883314,-1.3143338914387146,-1.300443833259381,-0.5687951246504926,1.1640135221007732,0,0,0,1,0,0
1.2413694014483525,-0.11095342154390785,-0.6430106530877954,-1.208120576585011,0.6026898303353886,-0.3409788778582933,-0.594502552610338,2.625661353118816,-0.2652446919710913,-0.5687951246504926,0.12005520631532639,1,0,0,1,0,0
-0.7202989328700666,-0.11095342154390785,2.194774801622232,-0.9387724595852204,0.27412225479937885,1.6647792271904904,1.728947814641091,0.30850755747427344,-0.6650187327321209,1.837535846495155,0.9030239431544116,1,0,0,1,0,1
-0.9791622915120998,-0.11095342154390785,0.30291783181554705,2.1587308859123717,-0.483210748254984,1.6647792271904904,-0.6053998141528079,0.42061151455466467,-0.8955018530245659,-0.4233501081647076,0.6420343642080498,0,0,0,1,0,0
-1.3132139437049482,-0.11095342154390785,0.06643571058971146,-1.1239492900225763,-0.26997242620626566,-0.3409788778582933,-0.6079194362254426,-0.7368928882099391,-1.236783349836317,2.196380865868925,-1.1848926884164823,0,0,0,1,0,1
-0.5223497046941757,-0.11095342154390785,0.7758820742672183,0.9634986167258011,-0.18649540866006195,-0.3409788778582933,1.7157506729710041,-0.49755714902521664,0.2699620851648059,1.8337312776341315,-0.14093437263103534,0,1,0,1,0,0
-0.49976932381091704,-0.11095342154390785,-0.6430106530877954,-0.9387724595852204,-0.9327023811960808,1.6647792271904904,-0.6032574754565133,-1.3143935353640748,-0.5985397068205371,-0.5348579541371429,0.9030239431544116,0,1,0,1,0,0
0.6314312147763302,-0.11095342154390785,1.9582926803963965,1.923051283537555,0.8408504607451974,-0.3409788778582933,-0.6208343838278773,0.95584299543899,2.0638834138245974,-0.559098790218107,1.1640135221007732,1,1,0,1,0,1
